"","x"
"1",0.93
"2",0.85
"3",0.81
"4",0.74
"5",0.61
"6",0.58
"7",0.57
"8",0.56
"9",0.52
"10",0.45
"11",0.4
"12",0.36
"13",0.22
"14",0.08
"15",0.07
"16",0.02
"17",0
"18",-0.01
"19",-0.07
"20",-0.12
"21",-0.17
"22",-0.29
"23",-0.38
"24",-0.38
"25",-0.39
"26",-0.42
"27",-0.44
"28",-0.46
"29",-0.48
"30",-0.6
"31",-0.63
"32",-0.66
"33",-0.72
"34",-0.72
"35",-0.8
"36",-0.8
"37",-0.82
"38",-0.82
"39",-0.84
"40",-0.85
"41",-0.85
"42",-0.87
"43",-0.89
"44",-0.9
"45",-0.96
"46",-0.96
"47",-0.99
"48",-1.01
"49",-1.09
"50",-1.12
"51",-1.14
"52",-1.17
"53",-1.19
"54",-1.22
"55",-1.27
"56",-1.28
"57",-1.32
"58",-1.38
"59",-1.39
"60",-1.42
"61",-1.47
"62",-1.47
"63",-1.5
"64",-1.52
"65",-1.54
"66",-1.55
"67",-1.56
"68",-1.57
"69",-1.6
"70",-1.6
"71",-1.62
"72",-1.64
"73",-1.67
"74",-1.7
"75",-1.7
"76",-1.71
"77",-1.71
"78",-1.75
"79",-1.78
"80",-1.78
"81",-1.82
"82",-1.87
"83",-1.89
"84",-1.92
"85",-1.92
"86",-1.92
"87",-1.94
"88",-1.99
"89",-2
"90",-2.05
"91",-2.06
"92",-2.08
"93",-2.1
"94",-2.11
"95",-2.12
"96",-2.17
"97",-2.21
"98",-2.24
"99",-2.24
"100",-2.29
"101",-2.31
"102",-2.32
"103",-2.35
"104",-2.35
"105",-2.36
"106",-2.36
"107",-2.38
"108",-2.42
"109",-2.43
"110",-2.44
"111",-2.52
"112",-2.53
"113",-2.57
"114",-2.62
"115",-2.62
"116",-2.64
"117",-2.64
"118",-2.7
"119",-2.82
"120",-2.88
"121",-2.89
"122",-2.92
"123",-2.93
"124",-2.96
"125",-2.98
"126",-3.01
"127",-3.01
"128",-3.02
"129",-3.07
"130",-3.09
"131",-3.11
"132",-3.13
"133",-3.14
"134",-3.15
"135",-3.22
"136",-3.26
"137",-3.27
"138",-3.27
"139",-3.3
"140",-3.31
"141",-3.33
"142",-3.37
"143",-3.43
"144",-3.43
"145",-3.48
"146",-3.51
"147",-3.59
"148",-3.61
"149",-3.63
"150",-3.63
"151",-3.68
"152",-3.71
"153",-3.74
"154",-3.75
"155",-3.75
"156",-3.77
"157",-3.77
"158",-3.78
"159",-3.81
"160",-3.95
"161",-3.96
"162",-3.96
"163",-4
"164",-4.02
"165",-4.04
"166",-4.12
"167",-4.15
"168",-4.16
"169",-4.17
"170",-4.21
"171",-4.23
"172",-4.25
"173",-4.3
"174",-4.31
"175",-4.35
"176",-4.4
"177",-4.4
"178",-4.43
"179",-4.46
"180",-4.47
"181",-4.51
"182",-4.6
"183",-4.64
"184",-4.69
"185",-4.71
"186",-4.77
"187",-4.95
"188",-4.98
"189",-5.21
"190",-5.22
"191",-5.28
"192",-5.31
"193",-5.35
"194",-5.37
"195",-5.4
"196",-5.43
"197",-5.65
"198",-5.66
"199",-6.7
"200",-5.72
"201",-6
"202",-6.25
"203",-6.26
"204",-6.27
"205",-6.35
"206",-6.57
"207",-6.62
"208",-6.96
"209",-7.02
"210",-7.2
"211",-7.28
"212",-7.32
"213",-7.39
"214",-7.82
"215",-8.23
"216",-8.94
"217",1.07
"218",0.43
"219",0.32
"220",0
"221",-0.4
"222",-0.52
"223",-0.55
"224",-0.6
"225",-0.62
"226",-0.85
"227",-0.89
"228",-0.93
"229",-0.96
"230",-1.06
"231",-1.1
"232",-1.12
"233",-1.15
"234",-1.28
"235",-1.3
"236",-1.31
"237",-1.35
"238",-1.39
"239",-1.41
"240",-1.41
"241",-1.42
"242",-1.46
"243",-1.5
"244",-1.5
"245",-1.52
"246",-1.52
"247",-1.59
"248",-1.61
"249",-1.63
"250",-1.71
"251",-1.83
"252",-2.05
"253",-2.06
"254",-2.07
"255",-2.15
"256",-2.16
"257",-1.99
"258",-2.36
"259",-2.38
"260",-2.39
"261",-2.46
"262",-2.49
"263",-2.54
"264",-2.55
"265",-2.63
"266",-2.64
"267",-2.67
"268",-2.68
"269",-2.77
"270",-2.78
"271",-2.82
"272",-2.92
"273",-3.03
"274",-3.12
"275",-3.16
"276",-3.19
"277",-3.54
"278",-3.54
"279",-3.59
"280",-3.66
"281",-3.68
"282",-3.75
"283",-3.76
"284",-3.78
"285",-3.8
"286",-3.8
"287",-3.85
"288",-3.89
"289",-3.95
"290",-4.29
"291",-4.42
"292",-4.48
"293",-4.48
"294",-4.53
"295",-4.63
"296",-4.73
"297",-4.84
"298",-4.89
"299",-4.89
"300",-5.26
"301",-6.09
"302",-6.29
"303",-6.29
"304",-6.89
"305",-6.96
"306",-7
"307",-7.05
"308",-8.3
"309",-8.66
"310",-9.03
"311",-10.41
"312",-7.89
"313",-2.32
"314",0.39
"315",-2.9
"316",-2.47
